3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
5149: niños | llega samuelito a su casa y le dice a su papa que se graduo con banda de honor y medalla de meritos, su papa feliz le dice:bravo hijito, todo por eso te voy a regalar lo que sea, un coche, un avion un yate, tu pide. el hijo contesta: no papa, yo lo que quiero es dar una vuelta a toda la republica mexicana en avion. el papa lo lleva al aeropuerto y dice: buenas tardes, mire aqui mi hijo presente de cuerpo entero banda de honor medalla de merito quiere dar una vuelta en avion, me puede recomendar a alguien. la señorita le contesta: si, mire tenemos al capitan morrison. llega el capitan y saluda y pregunta en que puede servirle, el papa le dice: mire aqui mi hijo presente de cuerpo entero banda de honor medalla de merito no quiere coche ni quiere nada lo que el quiere es dar una vuelta en avion, cuanto me cobra. serian diez mil pesos. ¡que esta usted loco, yo se lo que cuesta el alquiler del avion, del fuselaje, el desgaste de las llantas, la gasolina, sus servicios, derecho de pista, yo se de eso pues fui piloto en la guerra, soy profesional, no me quiera ver la cara! ¡ya!, no le voy a cobrar nada. gracias, es usted un hombre muy bueno va a ver que lo voy a recomendar, cuando uno de mis amigos quiera un avion le voy a decir, ve con el capitan morris, va a ser de la familia va a cenar con nosotros. ¡ya!, callese, va ser gratis con una condicion. yo se que una condicion es cuando dice algo y lo va a... ¡ya!, callese, la condicion sera callarse y si dice algo o algun sonido le cobrare 30 mil pesos. despues de un rato suben al avion, el capitan feliz porque no iba a hablar les da vueltas que sube que baja y el papa callado despues de malabares y medios aterrizan. y el capitan dice:  bravo señor, me sorprende su valentia no dijo nada ni grito ni... ¡como no si casi grito! ¿cuando señor? cuando se cayo samuelito.  
7716: una_linea | ¿cual es el sueño de las servilletas? ser billete.  
4729: matrimonios | llega un dia un señor a su casa en la madrugada, comienza a tocar la puerta, una, dos, tres veces y nada que le abren, entonces el hombre se va para un telefono publico que esta en la esquina, marca un numero de telefono, le contestan y pregunta:¿se encuentra victor? no, no se encuentra. pues, ¡como va a estar si no le quieren abrir la puerta!  
4084: mama_papa | -¡mama!, ¡mama!, en el colegio me dicen: jabon en polvo-no te preocupes, ariel 
4214: mama_papa | este era una vez que una nena le dice a la mama:mami, me voy a lavar la cabeza. y la mama le responde:  ¿con gripe?  y la hija dice:  no, con shampoo.  
5421: otros | como escoger empleados ponga unos cien ladrillos sin ningun orden particular en un cuarto que ademas de la puerta solo tenga una ventana. luego meta 2 o 3 candidatos en el cuarto y cierre la puerta. dejelos solos y regrese 6 horas despues y proceda a analizar la situacion.  - si estan contando los ladrillos, pongalos en el departamento de contabilidad. - si los estan recontando, pongalos en auditoria. - si han vuelto un lio el lugar con los ladrillos, pongalos en ingenieria. - si estan acomodando los ladrillos de un modo raro, pongalos en soporte. - si se estan tirando los ladrillos, pongalos en operaciones. - si estan durmiendo, pongalos en seguridad. - si rompieron los ladrillos en pedacitos, pongalos en sistemas. - si estan sentados sin hacer nada, pongalos en recursos humanos. - si dicen que han probado varias combinaciones, aunque no han movido un solo ladrillo, pongalos en marketing o ventas. - si estan mirando por la ventana, pongalos en planificacion estrategica. - si estan conversando y no han movido un solo ladrillo, ¡¡¡felicitelos y pongalos en la gerencia!!!  
5234: niños | papi, papi, ¿el alfajor tiene hilo?no, hijo. ¡ahh!, entonces me comi un yo-yo 
4967: navidad | una vez un niño le pregunto a su papa, que le iba a regalar en navidad.¿un globo como el año pasado? y el papa respondio: si hijito, pero si te portas bien te lo inflo 
2123: exageraciones | habia una muchacha tan flaca, tan flaca, que cuando murio y la enterraron, tuvieron que echarle embutidos al ataud para que comieran algo los gusanos.</div><div class=opciones> <span class=chisteid>#48865</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=48865' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
4035: machistas | ¿cual es la mitad de uno?la cintura.  
808: chistes_cortos | un atlante tan pendejo, pero tan pendejo, que disparo al aire y no le dio.</div><div class=opciones> <span class=chisteid>#76161</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=76161' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5562: otros | un señor llama por telefono y pregunta:¿con quien hablo? con la zapateria. ¡ah, perdon, me equivoque de numero! ¡no importa señor, se lo cambiamos 
3156: adivinanzas | ¿que es negro por dentro, verde por fuera y atraviesa por las noches las paredes?el aguacate fantasma 
2745: adivinanzas | ¿quien es mayor; la luna o el sol?respuesta: la luna, porque a ella le dejan salir de noche y al sol no 
7134: atlantes | llega pancho el gangoso a una cantina y pregunta:¿adivinen quien llego? y todos aclaman: ¡pos pancho el gangoso! y pancho responde: ¿asi que me reconocieron por las botas 
5194: niños | estaba una señora con bigotes sentada a fuera de su casa, cuando de pronto  pasan dos niños y se le quedan viendo lentamente y sin avanzar. entonces, la  señora se molesta y les dice:¿que nunca han visto una mujer con bigotes? y los niños asustados le contestan: ¡gratis, no 
7275: atlantes | manuel, ¿sabes cuantos puntos cardinales hay?pues si hombre, son 3, norte y sur 
5369: otros | el presidente de una empresa le dice a su gerente general:el lunes proximo, a eso de las 10 de la noche el cometa halley se hara visible, es un acontecimiento que ocurre cada 78 años. reuna al personal en el patio de la fabrica, todos usando cascos de seguridad, que alli les explicaremos el fenomeno. si llueve, el raro espectaculo no podra ser visto a ojo desnudo, en cuyo caso entraremos en el comedor donde sera exhibido un documental sobre el mismo tema. el gerente al jefe de produccion: por orden del presidente, el lunes a las siete aparecera el cometa halley sobre la fabrica. si llueve reuna a los empleados con cascos de seguridad y llevelos al comedor, donde tendra lugar el raro fenomeno lo que sucede cada 78 años a ojo desnudo. el jefe de produccion al supervisor: a pedido de nuestro gerente general, el cientifico halley de 78 años, aparecera desnudo en el comedor de la fabrica usando casco de seguridad, pues va a ser presentado  un documental sobre el problema de la lluvia en los ojos. el supervisor a su asistente: todo el mundo desnudo, sin excepcion, debera estar en el patio el lunes a las siete, donde el famoso guitarrista halley mostrara el documental bailando bajo la lluvia. el show se presenta cada 78 años. y por ultimo el asistente a sus empleados: el jefe cumplira 78 años el lunes, habra una fiesta en el patio y en el comedor amenizada por el grupo halley sus cometas.      
3241: adivinanzas | ¿en que se parece un tren con una radio?pues en que los dos tienen estaciones 
4994: niños | un dia juanito le dice a su tia:¡fea! entonces, el papa le dice a juanito que el no le debe decir asi a los mayores y mucho menos a su tia, anda hijo y dile a tu tia que lo sientes, y juanito muy obediente fue donde su tia y le dijo: tia lamento que seas fea 
135: borrachos | dos borrachitos estaban caminando sin rumbo entonces, uno ve a un hombre guapo con su perro y le dice a su compadre:hip, mira ese que va ahi se parece a mi. entonces, el borracho dice: es cierto, es cierto, y va con un hombre guapo 
5106: niños | llega un niño travieso y le pregunta a su papa:papi, ¿sabes como dejas a un tonto esperando? el papa dice: no hijo, ¿como? en eso le responde el niño: ¡mañana te digo papi!   
6415: pepito | suena el telefono y pepito contesta:¿bueno? ¿se encuentra tu papa pepito? esta ocupado, responde pepito en susurros. ¿esta tu mama pepito? esta ocupada, responde pepito en susurros. ¿esta tu hermano mayor pepito? esta ocupado, responde pepito en susurros. ¡caray! ¿pues, que estan haciendo? entonces, pepito responde en susurros: me estan buscando.		  
3237: adivinanzas | ¿como se llama un huevo de 65 millones de años?huevo duro.  
186: borrachos | entran unos policias a un bar y preguntan: ¿quien aqui es pedro gonzales? y sale un borracho y dice: yo soy pedro gonzalez. entonces los policias lo cogen y lo llevan a la carcel, le dan una paliza y lo dejan encerrado. al otro dia se levanta el borracho y les dice: ¡ja!, los engañe, yo no me llamo pedro gonzales.          	</div><div class=opciones> <span class=chisteid>#518</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=518' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
2826: adivinanzas | ¿por que van dam quiere ser rodilla?porque silvester es-talo 
6014: animales | ¿que pasa cuando una vaca se come un vidrio?se le corta la leche 
5066: niños | habia un niño tan tonto, que se corto la oreja porque la tenia repetida.  
6563: policias | un señor se pasa un semaforo en rojo y lo para un policia para ponerle una multa, pero el señor le dice: pero vea, es que yo soy daltonico. y el policia le dice:  ¡no me venga a decir que en daltonia no hay semaforos 
6155: animales | sabes tu, ¿por que no hay ratas en el cielo?porque ya hay un gato voladooor 
3322: adivinanzas | ¿como se llama el hermano musico de james bond?  trombon 
2911: adivinanzas | ¿como hacer para que un burro no cambie de sexo?entretenerlo un rato para que no se aburra 
4945: mujeres | ¿por que a las mujeres les gusta ser enterradas vestidas de negro?para parecer eternamente delgadas.  
3485: hombres | se encuentra una persona que habla ingles y dos amigos que hablan español. la conversacion empieza asi:¿do you speak english?  ¿como dice usted? ¿do you speak english? no entiendo. le pregunto si usted habla ingles? ¡ah, si, perfectamente 
5151: niños | eran unos trillizos que habian nacido y ya acostaditos en su cuna el primero despierta, levanta su cobija y mira hacia abajo, despierta a su hermano que dormia a un lado de el y le dice:ps, ps, despierta, fijate que yo soy un niño. el bebito lo escucha y dice: dejame ver que soy yo. levanta la cobijita, mira abajo y le dice: uuauu yo soy una niña. los dos despiertan al tercero y le preguntan: ¿tu que eres? el bebito levanta su cobija para mirarse y les contesta: no se que soy. pero como que no sabes, fijate bien, levanta bien la cobija. mira de nuevo y dice: no lo se, y llora por tener la gran duda. ¿pues por que no sabes?, preguntan los bebes. es que mis zapatitos son amarillos.  
2907: adivinanzas | ¿como se dice veterinario en ingles?dogto 
3753: locos | dos locos planean la fuga del maniconio, uno le dice al otro: si la pared es baja la saltamos, si es alta cavamos un hoyo, ¿entendido?  si, puedes ir primero. pasadas tres horas regresa el loco y dice: no podemos escapar. ¿por que? ¡porque no hay pared!  
3298: adivinanzas | ¿que le dijo batman a robin?¡robin! ¿y que le dijo robin a batman? ¡mande!  
2887: adivinanzas | ¿como llamas a un perro que tiene fiebre?un hot dog 
6846: atlantes | un atlante que no tiene idea de ingles, va a los estados unidos. el hombre queda muy asombrado con todas las estructuras y edificios que ve, pasando junto a la estatua de la libertad le pregunta a un señor:oiga, ¿quien hizo esa estatua tan grande y tan bonita? el señor no le entiende y le contesta: what? luego el hombre sigue su rumbo y pasa por el puente de brooklyn, y pregunta a otro señor: oiga, ¿quien hizo ese puente tan grande? como tampoco le entiende le contesta: what? el hombre sigue caminando y pasa por el empire state building y pregunta: ¿quien lo construyo? le contestan: what? y de repente pasa un cortejo funebre y el hombre pregunta: ¿quien es el desafortunado? y le contestan: what? y el dice: ¡ay! ¡pobre what se murio y no lo pude conocer 
5773: otros | hay un tipo que esta obsesionado a lanzarse en paracaidas y se decide acudir a una agencia de paracaidismo. le dice al encargado:señor, quiero lanzarme en paracaidas. y el encargado le contesta: señor, esta agencia esta a punto de cerrar por los multiples accidentes. y el tipo le contesta entusiasmado: no importa, me urge vivir la experiencia aunque sea al ultimo en aventarme. al conocer al instructor era demasiado tonto y este le da las indicaciones para que se aviente del avion, y al fin se avienta, pero al jalar el cable se da cuenta que no abre el paracaidas y el tipo asustado ve que un fulano viene en el aire pero de abajo hacia arriba y le alcanza a preguntar: ¿oye, sabes como se abre un paracaidas? no, yo no supe ni prender el gas.  
